cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,NETINBM,NETIMIN,netinc,ntlnls,eqcdiv,eqcstkrx,noij
"26620","14595","1008674","","READING CO-OPERATIVE BANK","Reading","MA","1867","12/31/2021","5/18/2022","SM","180 Haven St","","8","0","0","4","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","1/1/1886","3/27/1986","5/1/2021","Non-Stock","0","0","FED","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","www.readingcoop.com","23528","1595","21933","100","1750","0","301","","1449","17295","9638","1897","5760","6288","0","1481","4807","0","4807","0","4807","-5","0","0","4807"
"9300","13237","287342","1139327","READLYN SAVINGS BANK","Readlyn","IA","50668","12/31/2021","5/18/2022","NM","141 Main St","READLYN BANCSHARES INC","2","0","0","2","1","Bremer","47940","Waterloo-Cedar Falls, IA","5/15/1904","1/1/1934","12/1/2021","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","www.readlynsavingsbank.com","5222","961","4261","70","90","0","51","0","39","2020","1354","137","529","2261","0","108","2153","0","2153","0","2153","25","1200","0","2153"
"34980","0","2743244","2743235","RED RIVER BANK","Alexandria","LA","71301","12/31/2021","5/18/2022","NM","1412 Ctr. Ct","RED RIVER BANCSHARES INC","27","0","0","4","0","Rapides","10780","Alexandria, LA","1/14/1999","1/14/1999","11/16/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Shreveport","Atlanta","Southern","Western","0","1","http://www.RedRiverBank.net","77339","5617","71722","1900","26749","0","5067","0","21682","55854","32449","5443","17962","40717","19","7251","33485","0","33485","0","33485","675","0","0","33469.42"
"15820","0","1005655","2142324","RED RIVER STATE BANK","Halstad","MN","56548","12/31/2021","5/18/2022","NM","300 2nd Ave.","RED RIVER FINL SERVICES INC","2","0","0","2","1","Norman","","","1/1/1934","5/26/1941","12/12/2015","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","http://www.redriverbank.com","6719","800","5919","1057","156","0","63","0","93","2495","1294","260","941","2523","0","0","2523","0","2523","0","2523","-25","675","1500","2523"
"1386","11818","799359","5281989","RED ROCK BANK","Sanborn","MN","56083","12/31/2021","5/18/2022","NM","100 S Main St","MIDCOUNTRY ACQUISITION CORP","2","0","0","2","0","Redwood","","","11/14/1901","1/1/1934","4/6/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","www.myredrockbank.com","1391","156","1235","30","64","0","19","","45","923","533","73","317","346","50","114","282","0","282","0","282","0","35","0","242.5"
"58826","0","3591004","1064652","REDSTONE BANK","Centennial","CO","80016","12/31/2021","5/18/2022","NM","15765 E. Arapahoe Rd.","MIDWEST BANC HOLDING CO","2","0","0","4","0","Arapahoe","19740","Denver-Aurora-Lakewood, CO","7/2/2008","7/2/2008","4/24/2019","Stock","0","0","FDIC","DIF","Dallas","KANSAS CITY","Denver","Kansas City","Western","Western","0","1","www.redstonebankco.com","8206","654","7552","0","222","0","49","","173","5609","3382","552","1675","2165","2","442","1725","0","1725","0","1725","0","0","0","1723.4"
"57610","0","3247589","3552032","REDWOOD CAPITAL BANK","Eureka","CA","95501","12/31/2021","5/18/2022","NM","402 G St.","REDWOOD CAPITAL BCORP","4","0","0","4","0","Humboldt","","","3/1/2004","3/1/2004","8/10/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Sacramento","San Francisco","Western","Western","0","1","http://www.rdwo.com","17296","733","16563","140","3811","0","405","","3406","11170","6077","1281","3812","9064","0","2547","6517","0","6517","0","6517","-20","0","0","6517"
"58574","0","3650563","5014794","REGAL BANK","Livingston","NJ","7039","12/31/2021","5/18/2022","NM","570 W. Mount Pleasant Ave.","REGAL BCORP INC","11","0","0","4","0","Essex","35620","New York-Newark-Jersey City, NY-NJ-PA","12/6/2007","12/6/2007","6/5/2017","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","http://www.regalbanknj.com","17980","2590","15390","45","970","0","57","","913","11527","6628","2196","2703","4788","0","1343","3445","0","3445","0","3445","12","737","0","3445"
"4160","13887","309655","3632000","REGENT BANK","Tulsa","OK","74136","12/31/2021","5/18/2022","NM","7136 South. Yale, # 100","REGENT CAPITAL CORP","6","0","1","4","0","Tulsa","46140","Tulsa, OK","1/1/1898","1/1/1934","8/1/2020","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","www.Regent.Bank","40370","3464","36906","1958","7156","0","1858","","5298","26935","16813","2236","7886","15169","0","4095","11074","0","11074","0","11074","2085","0","0","11074"
"18385","11008","579140","1904963","REGIONAL MISSOURI BANK","Marceline","MO","64658","12/31/2021","5/18/2022","NM","1201 S. Missouri Ave.","RMB BANCSHARES INC","8","0","0","2","1","Linn","","","5/13/1908","5/11/1961","10/1/2019","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Columbia Mo","Kansas City","Western","West","0","1","www.regionalmo.bank","18537","1972","16565","372","1739","0","314","","1425","9556","6153","972","2431","8376","-79","0","8297","0","8297","0","8297","-22","5063","0","8376"
"12368","9709","233031","3242838","REGIONS BANK","Birmingham","AL","35203","12/31/2021","5/18/2022","SM","1900 5th Ave N","REGIONS FINANCIAL CORP","1326","3","1","4","0","Jefferson","13820","Birmingham-Hoover, AL","1/1/1928","1/1/1934","10/1/2021","Stock","0","1","FED","DIF","Atlanta","WASHINGTON","Shelby","Atlanta","Southern","Southeast","0","0","http://www.regions.com","4079000","99000","3980000","-524000","2363000","269000","684000","0","1410000","3548000","2113000","444000","991000","3319000","22000","719000","2622000","0","2622000","0","2622000","204000","2250000","0","2604620"
"16221","14525","108951","1363980","RELIABANK DAKOTA","Estelline","SD","57234","12/31/2021","5/18/2022","NM","211 N. Main St.","BIG SIOUX FINANCIAL INC","10","0","0","2","1","Hamlin","","","9/1/1920","1/2/1945","12/16/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","1","www.reliabank.com","23163","3590","19573","456","4832","0","441","","4391","15990","9408","1817","4765","7959","280","369","7870","0","7870","0","7870","28","1323","0","7601.2"
