"ID System: Loan Charge-Offs and Recoveries"
"","Title","Variable","Definition"
"61.","Net Charge-offs:Loans Secured By 1-4 Family Residential Properties","ntreres","Net amount of loans secured by 1-4 family residential properties (which are held in domestic offices) that have been charged-off and debited to the allowance for loan and lease losses established by the institution."
"62.","Net Charge-offs:Loans Secured By Multifamily Residential Properties","ntremult","Net amount of multifamily (5 or more) residential properties (which are held in domestic offices) that have been charged-off and debited to the allowance for loan and lease losses established by the institution."
"63.","Net Charge-offs:Loans Secured By Nonfarm Nonresidential Properties","ntrenres","Net amount of nonfarm nonresidential properties (which are held in domestic offices) that have been charged-off and debited to the allowance for loan and lease losses established by the institution."
"64.","Net Charge offs-Secured By Owner-Occupied Nonfarm Nonresidential Properties","NTRENROW","Net charged off loans secured by owner-occupied nonfarm nonresidential properties, debited to the allowance for loan and lease losses, held in domestic offices (data available as of March 2007)"
"65.","Net Charge offs:Secured By Other Nonfarm Nonresidential Properties","NTRENROT","Net charged off loans secured by other nonfarm nonresidential properties, debited to the allowance for loan and lease losses, held in domestic offices. Data available as of March 2007. This item was not available for TFR Reporters."
"66.","Net Charge-offs:Real Estate Loans in Foreign Offices","ntrefor","The net amount of charged-off loans secured by real estate and held in foreign offices of the institution."
"67.","Net Charge-offs:Loans To Depository Institutions","ntdep"," Net amount of loans to depository institutions and acceptances of other banks that have been charged-off and debited to the allowance for loan and lease losses established by the institution.  This item is not available for TFR Reporters.TFR reports ended December 2011."
"68.","Net Charge-offs:LoansTo Foreign Banks","ntdepnus","Net amount of loans to foreign depository institutions and acceptances of other banks that have been charged-off and debited to the allowance for loan and lease losses established by the institution.  This information is not available on a quarterly basis."
"69.","Net Charge-offs:Loans To Finance Agricultural and Other Loans to Farmers","ntag"," Net amount of loans to finance agricultural production and other loans to farmers that have been charged-off and debited to the allowance for loan and lease losses established by the institution.  This item is not available for TFR Reporters.TFR reports ended December 2011."
"70.","Net Charge-offs:Commercial and Industrial Loans","ntci","Net amount of commercial and industrial loans that have been charged-off and debited to the allowance for loan and lease losses established by the institution.  Note: For banks with assets of less than $300 million prior to 2001, this item includes all other loans (loans to depository institutions, agricultural loans, etc.)."
"71.","Net Charge-offs:LoansTo Non-U.S. Addressees","ntcinus","Net amount of commercial and industrial loans with non-U.S. addressees that have been charged-off and debited to the allowance for loan and lease losses established by the institution.  This information is not available on a quarterly basis."
"72.","Net Charge-offs:Loans To Individuals","ntcon","Net amount of loans to Individuals for household, family, and other personal expenditures that have been charged-off and debited to the allowance for loan and lease losses established by the institution."
"73.","Net Charge-offs:Credit Card Loans","ntcrcd"," Net amount of credit card loans to Individuals that have been charged-off and debited to the allowance for loan and lease losses established by the institution. note: prior to 2001, included revolving credit plans other than credit cards. "
"74.","Net Charge-offs:Auto Loans","NTAUTO","Net charged-off loans to Individuals for household, family and other personal expenditures: automobile loans debited to the allowance for loan and lease losses. Quarterly Variable: NTAUTOQ"
"75.","Net Charge-offs:Other Consumer Loans","NTCONOTH","Net charged-off loans to Individuals for household, family, and other personal expenditures:  All other loans debited to the allowance for loan and lease losses.Quarterly variable: NTCONOTQ  "
"76.","Net Charge-offs:Loans To Foreign Governments and Official Institutions","ntforgv","Net amount of loans to foreign governments and official institutions that have been charged-off and debited to the allowance for loan and lease losses established by the institution."
"77.","Net Charge-offs:Other Loans","ntother"," Net amount of all other loans that have been charged-off and debited to the allowance for loan and lease losses established by the institution.  This item is not available for TFR Reporters. TFR Reports ended in December 2011. "
"78.","Net Charge-offs:Lease Financing Receivables","ntls"," Net amount of lease financing receivables that have been charged-off and debited to the allowance for loan and lease losses established by the institution.  This item is not available for TFR Reporters.TFR reports ended December 2011."
"79.","Net Charge-offs:Loans for Agricultural and Other Loans to Farmersbkslt300M","ntagsm"," Net amount of loans to finance agricultural production and other loans to farmers that have been charged-off and debited to the allowance for loan and lease losses established by the institution.  This item is reported only by institutions with assets of $300 million or less.  This item is not available for TFR Reporters. TFR Reports ended in December 2011. "
