cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,IDdepsam,IDdepsmb,DEPSMRA,DEPSMRN,NTRCDSMJ,IDdeplam,IDdeplgb,DEPLGRA,DEPLGRN,TRNNIA,TRNNIN,NTRTMLGJ
"10803","0","846132","1201390","DEWEY BANK","Dewey","IL","61840","12/31/2021","5/18/2022","NM","2994 County Rd. 900 E.","ARTHUR R MURRAY INC","1","0","0","2","1","Champaign","16580","Champaign-Urbana, IL","1/1/1902","1/1/1934","4/28/2010","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","1","www.deweybank.com","18156","1932","776","48","3716","4845","13","0","0","","","0"
"14705","10949","668147","1205576","DEWITT BANK & TRUST CO.","Dewitt","IA","52742","12/31/2021","5/18/2022","NM","815 6th Ave.","DE WITT BCORP INC","2","0","0","2","1","Clinton","","","6/15/1933","8/27/1934","1/26/2018","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","WWW.DEWITTBANK.COM","125491","7715","4258","260","29624","85844","86","0","0","","","6191"
"1527","14755","27847","1491333","DIAMOND BANK","Murfreesboro","AR","71958","12/31/2021","5/18/2022","SM","319 E. Main St.","BAINUM BCORP","16","0","1","2","1","Pike","","","12/16/1904","1/1/1934","9/6/2017","Stock","0","0","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Southeast","0","1","www.diamond.bank","421066","28194","31448","1083","195361","209233","330","6537","19","","","53317"
"3787","14052","771140","1842355","DIETERICH BANK","Effingham","IL","62401","12/31/2021","5/18/2022","SM","300 Sur Woods Dr","PRIME BANC CORP","14","0","0","4","0","Effingham","","","1/1/1909","1/1/1934","8/1/2021","Stock","0","0","FED","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","http://www.dieterichbank.com","668464","46731","18170","1225","140210","407328","515","281","1","","","32518"
"18200","8347","311603","","DIME BANK","Norwich","CT","6360","12/31/2021","5/18/2022","SB","290 Salem Tpke","","13","0","1","4","0","New London","35980","Norwich-New London, CT","1/1/1869","7/1/1960","5/1/2021","Non-Stock","0","1","FDIC","DIF","New York","NEW YORK","Windsor","Boston","Northeastern","Northeast","0","1","http://www.dime-bank.com","524741","32862","40151","1969","172613","349043","475","5226","11","","","33030"
"6976","9545","23504","1416523","DIME COMMUNITY BANK","Hauppauge","NY","11788","12/31/2021","5/18/2022","SM","898 Veterans Memorial Hwy","DIME COMMUNITY BANCSHARES INC","65","0","0","4","0","Suffolk","35620","New York-Newark-Jersey City, NY-NJ-PA","2/19/1909","1/1/1934","3/31/2021","Stock","0","1","FED","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","http://www.dime.com","3112970","120048","193558","7237","653130","7370746","6192","24463","74","","","200113"
"5649","0","30810","3846375","DISCOVER BANK","Greenwood","DE","19950","12/31/2021","5/18/2022","NM","502 E Market St","DISCOVER FINANCIAL SERVICES","2","0","0","3","0","Sussex","41540","Salisbury, MD-DE","8/30/1911","1/1/1934","9/30/2020","Stock","0","0","FDIC","DIF","New York","NEW YORK","Claymont","Philadelphia","Northeastern","Northeast","0","0","www.discover.com","56067860","6086848","2357995","89492","19301035","16921353","35013","233262","750","","","1823504"
"9668","13993","724548","","DIXON BANK","Dixon","KY","42409","12/31/2021","5/18/2022","NM","42 Us Hwy. 41-A S.","","1","0","0","7","0","Webster","","","1/1/1895","1/1/1934","8/1/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Southeast","0","1","www.dixonbank.com","36736","1815","6513","158","20093","18688","37","642","2","","","3826"
"14769","10002","56548","1135628","DMB COMMUNITY BANK","De Forest","WI","53532","12/31/2021","5/18/2022","NM","321 N. Main St.","DMB CORP INC","1","0","0","4","0","Dane","31540","Madison, WI","6/29/1922","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","0","1","http://www.deforestbank.com","402180","9643","5581","310","272630","151189","261","300","1","","","31556"
"3977","0","401559","2359962","DNB NATIONAL BANK","Clear Lake","SD","57226","12/31/2021","5/18/2022","N","305 4th St W","DCNB HOLDING CO","2","0","0","2","1","Deuel","","","1/1/1926","1/1/1934","8/26/2014","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","1","www.dnbanks.com","63746","3272","358","31","16022","30847","39","0","0","","","0"
"57095","0","3047659","","DOGWOOD STATE BANK","Raleigh","NC","27609","12/31/2021","5/18/2022","NM","5401 6 Forks Rd","","8","0","0","4","0","Wake","39580","Raleigh, NC","9/4/2001","9/4/2001","10/1/2019","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Raleigh","Richmond","Northeastern","Southeast","0","1","www.dogwoodstatebank.com","263819","7994","2350","94","89149","521611","467","0","0","","","10079"
"32245","8043","961624","5218097","DOLLAR BANK, FEDERAL SAVINGS BANK","Pittsburgh","PA","15222","12/31/2021","5/18/2022","SA","340 4th Ave","DOLLAR MUTUAL BCORP","80","0","1","5","0","Allegheny","38300","Pittsburgh, PA","9/21/1984","9/21/1984","12/31/2021","Stock","0","0","OCC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","0","0","www.dollar.bank","4917771","392275","232498","21134","922410","3470358","4497","17414","55","","","161765"
"11934","0","404653","5307638","DOMINION BANK","Dallas","TX","75252","12/31/2021","5/18/2022","NM","17304 Preston Rd.","DOMINION BANCSHARES INC","3","0","0","4","0","Dallas","19100","Dallas-Fort Worth-Arlington, TX","8/1/1911","1/1/1934","12/18/2019","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.dominionbanking.com","77448","2100","1584","23","21973","241931","180","595","1","","","7669"
"57230","0","3049635","3049626","DOUGLAS NATIONAL BANK","Douglas","GA","31533","12/31/2021","5/18/2022","N","211 E. Ward St.","DNB FINANCIAL SERVICES INC","1","0","0","4","1","Coffee","","","11/19/2001","11/19/2001","7/26/2007","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","http://www.dnbdouglas.com","111552","7858","3439","124","27817","116379","151","500","1","","","13752"
"58257","0","3428258","3958821","DR BANK","Darien","CT","6820","12/31/2021","5/18/2022","NM","1001 Post Rd","ALCAR INC","2","0","0","4","0","Fairfield","14860","Bridgeport-Stamford-Norwalk, CT","4/24/2006","4/24/2006","5/1/2021","Stock","0","1","FDIC","DIF","New York","NEW YORK","Windsor","New York","Northeastern","Northeast","0","1","www.drbank.com","208698","5296","10846","250","146524","122914","249","1567","6","","","39407"
"57336","0","3090833","3090842","DRAKE BANK","Saint Paul","MN","55107","12/31/2021","5/18/2022","NM","60 Plato Blvd, # 100","PLATO HOLDINGS INC","1","0","0","4","1","Ramsey","33460","Minneapolis-St. Paul-Bloomington, MN-WI","5/1/2002","5/1/2002","7/26/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.drake-bank.com","53103","1946","853","36","23342","109774","123","433","1","","","13963"
"32737","12643","1436071","1493579","DRUMMOND COMMUNITY BANK","Chiefland","FL","32626","12/31/2021","5/18/2022","NM","1627 N. Young Blvd.","DRUMMOND BANKING CO","18","0","0","4","0","Levy","23540","Gainesville, FL","1/12/1990","1/12/1990","9/1/2020","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","1","http://www.drummondbank.com","451201","39822","4778","233","34886","419264","563","322","1","","","44383"
"34331","0","2502825","","DSRM NATIONAL BANK","Albuquerque","NM","87109","12/31/2021","5/18/2022","N","5600 Wyoming Blvd, N.E, # 27","","1","0","0","7","0","Bernalillo","10740","Albuquerque, NM","10/1/1996","10/1/1996","6/15/2015","Stock","0","0","OCC","DIF","Dallas","DALLAS","Albuquerque","Kansas City","Western","West","0","0","","0","0","0","0","0","500","1","0","0","","","500"
"10804","13759","823142","1099748","DU QUOIN STATE BANK","Du Quoin","IL","62832","12/31/2021","5/18/2022","SM","15 E Main St","PERRY COUNTY BCORP INC","3","0","0","7","1","Perry","","","4/17/1915","1/1/1934","8/1/2021","Stock","0","0","FED","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","http://www.duquoinstatebank.com","79294","3750","498","83","31153","34639","42","0","0","","","0"
"15219","9365","642549","1206546","DUBUQUE BANK AND TRUST COMPANY","Dubuque","IA","52001","12/31/2021","5/18/2022","NM","1398 Central Ave.","HEARTLAND FINANCIAL USA INC","9","0","0","4","0","Dubuque","20220","Dubuque, IA","7/3/1935","7/3/1935","11/3/2017","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","0","http://www.dubuquebank.com","402915","26424","10192","1432","32747","1336145","573","944","2","","","26559"
