cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,nclnlsr,ncrer,ncreconr,ncrenrer,ncremulr,ncreresr,ncrelocr,ncrereor,idnccir,idncconr,idnccrdr,idnccoor,idncator,idnccotr,nccomrer,idncgtpr
"34728","0","2666400","3121193","INDEPENDENT BANK","Memphis","TN","38157","12/31/2021","5/18/2022","NM","5050 Poplar Ave","INDEPENDENT HOLDINGS INC","12","0","1","9","0","Shelby","32820","Memphis, TN-MS-AR","4/20/1998","4/20/1998","11/16/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Nashville","St. louis","Southern","Southeast","0","1","https://www.i-bankonline.com","0.534981088570215","1.88267202057026","9.77090371621622","1.51219849333057","0","0.544627263535251","0","0.949443153593462","0","8.27308447097152E-02","","8.27308447097152E-02","9.20044124079956E-02","0","","0"
"27811","321","636771","1201925","INDEPENDENT BANK","Grand Rapids","MI","49525","12/31/2021","5/18/2022","SM","4200 E. Beltline Ave. Ne","INDEPENDENT BANK CORP","64","0","0","4","0","Kent","24340","Grand Rapids-Wyoming, MI","1/1/1890","9/15/1999","4/1/2018","Stock","0","0","FED","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","0","0","www.Independentbank.com","0.184958056716246","0.235736489569768","0","6.00078910376715E-04","0","0.453528257240861","1.07816187969268","0.388398875010508","1.90536483126765E-02","9.58263497338755E-02","","9.58263497338755E-02","0.095996036292695","9.58159115369596E-02","","13.6158701532913"
"11462","12394","956152","1416925","INDEPENDENT FARMERS BANK","Maysville","MO","64469","12/31/2021","5/18/2022","NM","201 W Main St.","FARMERS BANCSHARES INC","3","0","0","2","0","Dekalb","41140","St. Joseph, MO-KS","3/12/1920","1/1/1934","2/23/2017","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.farmbank.net","0.443601431761863","0.729217306757414","0","0.418778928807582","","1.57868419172798","","1.57868419172798","8.89284126278346E-02","0.881251376955276","0","0.962000962000962","0.300978179082017","1.27253446447508","","0"
"24387","0","1015560","4097978","INDUSTRIAL AND COMMERCIAL BANK OF CHINA USA, NATIONAL ASSOCIATION","New York","NY","10036","12/31/2021","5/18/2022","N","1185 Ave. Of The Americas","CHINA INVESTMENT CORP","14","0","1","4","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","2/14/1983","2/14/1983","11/16/2020","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","0","www.icbc-us.com","1.4735488242909","2.28762660140644","14.2181243897484","1.68912109583411","0","0","","0","0","0","0","","","","","0"
"14679","0","536527","2326179","INDUSTRIAL BANK","Washington","DC","20011","12/31/2021","5/18/2022","NM","4812 Georgia Ave. Nw","IBW FINANCIAL CORP","7","0","1","4","0","District Of Columb","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","8/18/1934","8/18/1934","11/1/2019","Stock","0","0","FDIC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.industrial-bank.com","4.95535070350507","4.49389982220587","21.0765482994472","3.76130276103953","0","2.87804615632901","0","2.92164529587802","10.3739161140974","1.50891632373114","1.22377622377622","2.54777070063694","0","3.77358490566038","","3.75760783275999"
"12506","12309","733054","2112439","INDUSTRY STATE BANK","Industry","TX","78944","12/31/2021","5/18/2022","NM","16886 Fordtran Blvd","INDUSTRY BANCSHARES INC","5","0","0","2","0","Austin","26420","Houston-The Woodlands-Sugar Land, TX","6/1/1911","1/1/1934","4/13/2016","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","0","http://www.isbtx.com","0.301995932508253","0.368211876294169","0","0","","1.08433734939759","","1.08433734939759","8.56800137088022E-03","1.52663828019524","","1.52663828019524","0","2.10964408725603","0","0"
"59098","0","5193989","","INFINITY BANK","Santa Ana","CA","92707","12/31/2021","5/18/2022","NM","6 Hutton Ctr. Dr. Suite 100","","1","0","0","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","2/1/2018","2/1/2018","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","https://www.goinfinitybank.com/","0.671494141080386","0","0","0","0","0","","0","1.2767250987942","0","","0","","0","0","0"
"27763","239","904171","4442224","INFIRST BANK","Indiana","PA","15701","12/31/2021","5/18/2022","SB","935 Philadelphia St.","INFIRST BCORP MHC","11","0","0","5","0","Indiana","","","1/1/1922","5/31/1943","1/1/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","0","1","www.infirstbank.com","0.777004785347208","0.761153442287499","0","3.61650950424658","0","0.390341133235056","0","0.410590916039982","1.15129867878073","9.66417008939357E-02","","9.66417008939357E-02","0","0.108225108225108","","7.39803983559911"
"22444","13793","189745","2944144","INLAND BANK & TRUST","Oak Brook","IL","60523","12/31/2021","5/18/2022","NM","2805 Butterfield Rd.","INLAND BCORP INC","14","0","0","4","0","Du Page","16980","Chicago-Naperville-Elgin, IL-IN-WI","4/1/1977","4/1/1977","10/15/2015","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","http://www.inlandbank.com","1.27235748680868","0.456589364431143","0","0.629009905399635","0","0.573155567267547","2.13577421815408","0.362576159683026","7.02413710317827","0","","0","0","0","","0"
"35521","0","2877345","2877336","INSBANK","Nashville","TN","37215","12/31/2021","5/18/2022","SM","2106 Crestmoor Rd.","INSCORP INC","2","0","0","4","0","Davidson","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","11/20/2000","11/20/2000","5/11/2015","Stock","0","0","FED","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","www.insbank.com","0.481446624705556","0.693147170324","0.536583039206334","0.4072961171886","0","2.05199136003638","6.87143138413073","0.903331769122478","1.32273382627214E-03","0","","0","0","0","","0"
