cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,scrdebt,scpt3les,scpt3t12,scpt1t3,scpt3t5,scpt5t15,scptov15,sco3yles,scoov3y,scnm3les,scnm3t12,scnm1t3,scnm3t5,scnm5t15,scnmov15,sc1les
"57311","0","3076248","3063622","STIFEL BANK AND TRUST","Saint Louis","MO","63102","12/31/2021","5/18/2022","SM","501 N. Broadway","STIFEL FINANCIAL CORP","2","0","0","4","0","Saint Louis City","41180","St. Louis, MO-IL","4/16/2002","4/16/2002","12/31/2014","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","0","http://www.stifelbank.com","4105097","0","1139","36","0","391","87993","588","0","3431029","456800","5532","71868","49721","0","0"
"59043","0","4125778","3063622","STIFEL TRUST COMPANY DELAWARE, NATIONAL ASSOCIATION","Wilmington","DE","19801","12/31/2021","5/18/2022","N","100 S W. St","STIFEL FINANCIAL CORP","1","0","0","7","0","New Castle","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","4/28/2010","4/30/2020","7/1/2020","Stock","0","1","OCC","DIF","New York","KANSAS CITY","New York City","Philadelphia","Northeastern","Northeast","0","0","","350572","0","0","0","0","41951","104814","0","10665","151400","605","9204","9330","22603","0","805"
"33785","15377","2713920","3063622","STIFEL TRUST COMPANY, NATIONAL ASSOCIATION","Saint Louis","MO","63102","12/31/2021","5/18/2022","N","501 N. Broadway","STIFEL FINANCIAL CORP","2","0","1","7","0","Saint Louis City","41180","St. Louis, MO-IL","2/16/1993","9/29/1999","6/30/2016","Stock","0","1","OCC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","0","http://www.stifeltrust.com/","748417","0","6867","0","0","133095","128622","0","14414","366789","503","37774","28768","31585","0","3407"
"9263","14586","407645","1210646","STILLMAN BANCCORP N.A.","Stillman Valley","IL","61084","12/31/2021","5/18/2022","N","101 E. Main St.","STILLMAN BANCCORP INC","6","0","0","2","1","Ogle","","","6/9/1882","12/16/1933","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","www.stillmanbank.com","403101","0","260","0","0","275","0","6537","18867","26187","4228","21622","78701","209759","36665","7581"
"8942","0","992851","1127155","STOCK GROWERS BANK","Forman","ND","58032","12/31/2021","5/18/2022","NM","331 Main St S","NAPOLEON BCORP INC","6","0","0","2","1","Sargent","","","1/1/1900","1/1/1934","9/12/2020","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","https://www.stockgrowers.bank","158358","37","0","487","272","4096","3655","10232","9052","1582","1383","8982","8688","101181","8711","2699"
"258","9364","317342","1249730","STOCK YARDS BANK & TRUST COMPANY","Louisville","KY","40206","12/31/2021","5/18/2022","NM","1040 E Main St","STOCK YARDS BCORP INC","64","0","1","4","0","Jefferson","31140","Louisville-Jefferson County, KY-IN","6/1/1904","1/1/1934","6/30/2021","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Louisville","St. louis","Central","Southeast","0","0","www.syb.com","1180178","0","111","53","5807","222564","439922","87315","68215","35424","599","131929","13076","138456","36707","6063"
"16191","10928","651859","1126046","STOCKMAN BANK OF MONTANA","Miles City","MT","59301","12/31/2021","5/18/2022","NM","700 Main St.","STOCKMAN FINANCIAL CORP","39","0","0","4","1","Custer","","","1/1/1944","9/18/1944","7/29/2015","Stock","0","1","FDIC","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.stockmanbank.com","2462077","0","0","0","0","0","0","1032379","119570","398159","308759","491274","37550","67660","6726","706918"
"358","0","667252","","STOCKMENS BANK","Cascade","MT","59421","12/31/2021","5/18/2022","SM","117 Central Ave.","","1","0","0","2","1","Cascade","24500","Great Falls, MT","1/1/1917","1/1/1934","6/30/2013","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.stockmens.net","6633","0","0","0","0","0","0","0","0","100","400","1563","2488","2082","0","500"
"8321","0","982553","2484417","STOCKMENS BANK","Colorado Springs","CO","80903","12/31/2021","5/18/2022","NM","25 N. Cascade Ave.","FIRST BANCSHARES INC","11","0","1","2","0","El Paso","17820","Colorado Springs, CO","5/1/1897","1/1/1934","9/11/2018","Stock","0","0","FDIC","DIF","Dallas","KANSAS CITY","Denver","Kansas City","Western","Western","0","1","www.thestockmensbank.com","14306","0","0","0","0","0","0","0","0","75","100","162","8793","5176","0","175"
"14864","0","818652","","STOCKMENS NATIONAL BANK IN COTULLA","Cotulla","TX","78014","12/31/2021","5/18/2022","N","206 N. Main St.","","1","0","0","7","1","La Salle","","","1/1/1904","11/10/1934","2/28/2019","Stock","0","0","OCC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","https://snbcotulla.com","49722","0","0","0","0","0","0","0","0","1311","0","13162","24865","10384","0","1311"
"17431","0","913146","4928344","STONE BANK","Mountain View","AR","72560","12/31/2021","5/18/2022","NM","802 E. Main St.","STONE BANCSHARES INC","7","0","0","2","0","Stone","","","4/29/1955","4/29/1955","9/20/2019","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Southeast","0","1","www.stonebank.com","71664","0","35","0","0","5883","22825","890","1769","566","0","82","251","23482","15881","566"
"26559","6525","954279","","STONEHAMBANK, A CO-OPERATIVE BANK","Stoneham","MA","2180","12/31/2021","5/18/2022","SB","80 Montvale Ave","","2","0","0","4","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","1/1/1887","2/14/1986","5/1/2021","Non-Stock","0","1","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","stonehambank.com","133849","0","0","0","78","4348","97223","0","261","0","0","0","3000","17427","11512","0"
