cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,ntlnlsr,ntrer,ntrecosr,ntrenrsr,ntremulr,ntreresr,ntrelocr,ntreothr,idntcir,idntconr,idntcrdr,idntcoor,idntator,idntcotr,ntcomrer
"57468","0","3139321","3139312","COMMUNITY BANK OWATONNA","Owatonna","MN","55060","12/31/2021","5/18/2022","NM","640 Bridge St.","COMMUNITY FINANCIAL CORP","1","0","0","4","0","Steele","","","1/13/2003","1/13/2003","3/14/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","http://www.cbowatonna.com","0","0","0","0","0","0","0","0","0","0","","0","0","0",""
"6989","10251","202907","1048867","COMMUNITY BANK, NATIONAL ASSOCIATION","Canton","NY","13617","12/31/2021","5/18/2022","N","45-49 Court St.","COMMUNITY BANK SYSTEM INC","230","0","1","9","0","Saint Lawrence","","","1/1/1866","1/1/1934","6/12/2020","Stock","0","1","OCC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","0","www.cbna.com","0.058352887410434","1.11925141340162E-02","0","1.24131924337881E-02","0","1.55816867216524E-02","-2.98958309665801E-03","1.66969713704752E-02","0.136394760965216","0.21821547947263","","0.21821547947263","8.33413924529461E-02","0.649400514846064",""
"26871","0","77422","3848632","COMMUNITY BANKERS' BANK","Midlothian","VA","23113","12/31/2021","5/18/2022","SM","2601 Promenade Pkwy.","CBB FINANCIAL CORP","1","0","0","4","0","Chesterfield","40060","Richmond, VA","1/2/1987","1/2/1987","8/31/2017","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","0","http://cbbonline.com","-4.39608288081591E-02","0","0","0","0","0","0","0","0","0","","0","","0",""
"34160","15999","553038","2530118","COMMUNITY BANKING COMPANY OF FITZGERALD","Fitzgerald","GA","31750","12/31/2021","5/18/2022","NM","102 W. Roanoke Dr.","CBC HOLDING CO","2","0","0","8","0","Ben Hill","","","4/19/1996","4/19/1996","2/27/2009","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","www.communitybankoffitzgerald.com","3.43848856546257E-02","0","0","0","0","0","0","0","-8.74401035290826E-02","0.299846744997002","","0.299846744997002","7.65060767683833E-02","0.530497990879949",""
"920","0","102539","1204467","COMMUNITY BANKS OF SHELBY COUNTY","Cowden","IL","62422","12/31/2021","5/18/2022","NM","126 N. Grand Ave","COWDEN BCORP INC","3","0","0","2","1","Shelby","","","1/1/1892","1/1/1934","11/9/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","1","www.communities1st.com","-4.21269030828468E-03","0","","0","","0","","0","0","-7.01852891633914E-02","","-7.01852891633914E-02","-7.55743651753325E-02","0",""
"26363","14581","299868","","COMMUNITY COMMERCE BANK","Claremont","CA","91711","12/31/2021","5/18/2022","NM","358 W Foothill Blvd","","4","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","10/1/1976","9/10/1985","12/31/2020","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (North)","San Francisco","Western","Western","0","0","https://www.ccombank.com","-4.66283861745987E-03","0","","0","0","0","","0","0","-2.74008090711624E-02","","","-2.74008090711624E-02","",""
"10568","17428","168357","3802540","COMMUNITY DEVELOPMENT BANK, FSB","Ogema","MN","56569","12/31/2021","5/18/2022","SA","516 Main St.","MIDWEST MN CMTY DEVELOPMENT","3","0","0","8","0","Becker","","","1/6/1906","1/1/1934","10/20/2017","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","www.comdevbank.com","1.32844194197774E-02","0","0","0","0","0","0","0","0","0.364922524141029","","0.364922524141029","0.222182723071454","0.609756097560976",""
"57129","17528","3040418","3793125","COMMUNITY FEDERAL SAVINGS BANK","Woodhaven","NY","11421","12/31/2021","5/18/2022","SA","89-16 Jamaica Ave.","COMMUNITY FSB HOLDING CO","1","0","0","4","0","Queens","35620","New York-Newark-Jersey City, NY-NJ-PA","7/16/2001","7/16/2001","7/24/2017","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","www.cfsb.com","0.549030056512033","0","0","0","0","0","","0","0.76945645822102","0","","0","","0",""
"27053","0","47256","","COMMUNITY FINANCIAL BANK","Prentice","WI","54556","12/31/2021","5/18/2022","NM","450 Ctr. St.","","2","0","0","8","0","Price","","","10/1/1987","10/1/1987","9/2/2016","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","0","1","www.communityfinancialbank.net","0","0","0","0","","0","","0","0","0","","0","0","0",""
"287","11962","698144","2052067","COMMUNITY FINANCIAL SERVICES BANK","Benton","KY","42025","12/31/2021","5/18/2022","SM","221 W 5th St","COMMUNITY FINL SERVICES EMPLOYEE STK OWNERSHIP PLAN","8","0","0","4","0","Marshall","","","1/1/1890","1/1/1934","8/1/2021","Stock","0","1","FED","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Southeast","0","1","http://www.yourlifeyourbank.com","0.267296991100759","0.223698277387894","-6.96318217425363E-03","0.507179712811488","0","2.56581083603849E-02","0","2.58511490835768E-02","0.819549502598391","6.65352501499862E-02","","6.65352501499863E-02","-5.39176569542994E-03","7.49357064233124E-02","0"
