cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,sc,scus,scust,scage,scmuni,SCDOMO,idscod,idsccmmb,scabs,scsfp,scodot,scford,IDSCEQ,sceq,SCEQFV,schtmres,idahta,scres,scpledge,scmtgbk,idscgtpc,scgty,scodpc,idsccmo,sccol,scodpi,idsccmt,sccmpt,sccmot,scha,scaf,scrdebt,scsnhaa,scsnhaf,trade,idtrrval,trlreval
"27314","15044","1216022","4504654","SYNCHRONY BANK","Draper","UT","84020","12/31/2021","5/18/2022","SA","170 W. Election Rd, # 125","SYNCHRONY FINANCIAL","3","0","1","3","0","Salt Lake","41620","Salt Lake City, UT","8/1/1988","8/1/1988","3/2/2018","Stock","0","0","OCC","DIF","San Francisco","NEW YORK","Salt Lake City","San Francisco","Western","West","0","0","www.synchronybank.com","5463000","2738000","2220000","518000","13000","2439000","0","0","2430000","0","9000","0","273000","","273000","0","","","404000","518000","518000","518000","0","0","0","0","0","0","0","0","5190000","5190000","0","0","0","0","0"
"34978","0","2748502","2748490","SYNERGY BANK","Houma","LA","70360","12/31/2021","5/18/2022","NM","210 Synergy Ctr. Blvd","SYNERGY BANCSHARES INC","6","0","0","4","0","Terrebonne","26380","Houma-Thibodaux, LA","3/10/1999","3/10/1999","11/16/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","www.synergybank.com","374135","354512","205025","149487","17623","2000","0","0","0","0","2000","0","0","","0","0","","","33040","97591","6877","6877","0","90714","90714","0","0","0","0","110612","263523","374135","0","0","0","0",""
"873","14036","395238","1078846","SYNOVUS BANK","Columbus","GA","31901","12/31/2021","5/18/2022","SM","1111 Bay Ave.","SYNOVUS FINANCIAL CORP","293","0","1","4","0","Muscogee","17980","Columbus, GA-AL","1/1/1888","1/1/1934","1/1/2019","Stock","0","1","FED","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","0","www.synovus.com","10934781","10385340","117838","10267502","0","532989","0","0","514188","0","18801","0","16452","","16452","0","","","4033161","10213301","8791934","8791934","0","939623","939623","0","481744","481744","0","0","10918329","10918329","0","0","167560","0","74514"
"29143","2988","717670","","SYSTEMATIC SAVINGS BANK","Springfield","MO","65806","12/31/2021","5/18/2022","SA","318 S. Ave","","1","0","0","4","0","Greene","44180","Springfield, MO","1/1/1923","3/5/1938","10/13/2020","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","0","1","WWW.MYSYSTEMATIC.COM","3341","298","0","298","600","2443","0","0","0","0","2443","0","0","","0","0","","","0","298","0","0","0","298","298","0","0","0","0","0","3341","3340","0","0","0","0",""
"57703","0","3284445","5077977","T BANK, NATIONAL ASSOCIATION","Dallas","TX","75248","12/31/2021","5/18/2022","N","16200 Dallas Parkway, # 190","TECTONIC FINANCIAL INC","1","0","0","4","0","Dallas","19100","Dallas-Fort Worth-Arlington, TX","11/2/2004","11/2/2004","5/12/2014","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://www.tbank.com","36829","17156","0","17156","0","19673","0","0","0","0","19673","0","0","","0","0","","","163","1754","853","853","0","0","0","0","901","901","0","19673","17156","36829","0","0","0","0",""
"16394","0","411549","3685220","TABLE GROVE STATE BANK","Table Grove","IL","61482","12/31/2021","5/18/2022","NM","121 S. Broadway St.","TG BANCSHARES INC","1","0","0","2","1","Fulton","37900","Peoria, IL","3/5/1946","3/5/1946","6/19/2012","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","www.tgsbank.com","8737","4360","0","4360","4377","0","0","0","0","0","0","0","0","","0","0","","","1318","4360","2481","2481","0","187","187","0","1692","1692","0","0","8737","8736","0","0","0","0",""
"58300","0","3446225","3446430","TABLE ROCK COMMUNITY BANK","Kimberling City","MO","65686","12/31/2021","5/18/2022","NM","1 Wildwood Ln.","TABLE ROCK BANCSHARES CORP","2","0","0","4","0","Stone","","","8/28/2006","8/28/2006","6/21/2017","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","0","1","www.trcbank.com","24371","19060","0","19060","5311","0","0","0","0","0","0","0","0","","0","0","","","17822","10697","9908","9908","0","789","789","0","0","0","0","0","24371","24372","2500","2487","0","0",""
"178","9191","577230","1249020","TALBOT STATE BANK","Woodland","GA","31836","12/31/2021","5/18/2022","NM","76 E. Main St.","TSB BCORP INC","2","0","0","8","1","Talbot","17980","Columbus, GA-AL","11/25/1907","1/1/1934","8/26/2015","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","https://www.talbotstatebank.com","12011","2957","0","2957","9048","0","0","0","0","0","0","0","6","","6","0","","","4153","0","0","0","0","0","0","0","0","0","0","0","12005","12004","3000","2957","0","0",""
"59178","0","5401273","","TANDEM BANK","Tucker","GA","30084","12/31/2021","5/18/2022","NM","2356 Main St.","","1","0","0","4","0","Dekalb","12060","Atlanta-Sandy Springs-Roswell, GA","9/23/2019","9/23/2019","5/26/2020","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","www.tandem.bank","8983","5237","1000","4237","1507","2239","0","0","0","0","2239","0","0","","0","0","","","0","4237","3744","3744","0","493","493","0","0","0","0","0","8983","8983","0","0","0","0",""
"29061","2844","800479","","TARBORO SAVINGS BANK, SSB","Tarboro","NC","27886","12/31/2021","5/18/2022","SB","501 Main St.","","1","0","0","5","0","Edgecombe","40580","Rocky Mount, NC","1/1/1906","5/27/1949","3/9/2020","Non-Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Raleigh","Richmond","Northeastern","Southeast","0","1","www.tarborosavingsbank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
