CUSIP,SEQ,START,COUPON,MARGIN,SIMPNDX,FIRSTRST,CPNFRQ,FORMULA
3130ARXB2,2,2022-11-23,4.0,0.0,0,N/A,S,4.0
3130ARXC0,1,2022-04-28,2.85,0.0,0,N/A,S,2.85
3130ARXD8,1,2022-04-28,2.87,0.0,0,N/A,S,2.87
3130ARXE6,1,2022-04-28,2.855,0.0,0,N/A,S,2.855
3130ARXF3,1,2022-05-25,2.125,0.0,0,N/A,S,2.125
3130ARXG1,1,2022-05-26,2.55,0.0,0,N/A,S,2.55
3130ARXH9,1,2022-05-26,2.25,0.0,0,N/A,S,2.25
3130ARXJ5,1,2022-05-02,3.55,0.0,0,N/A,S,3.55
3130ARXK2,1,2022-04-29,3.41,0.0,0,N/A,S,3.41
3130ARXL0,1,2022-05-25,3.0,0.0,0,N/A,S,3.0
3130ARXM8,1,2022-05-16,2.55,0.0,0,N/A,S,2.55
3130ARXN6,1,2022-05-24,3.05,0.0,0,N/A,S,3.05
3130ARXP1,1,2022-05-23,3.3,0.0,0,N/A,S,3.3
3130ARXQ9,1,2022-05-20,3.15,0.0,0,N/A,S,3.15
3130ARXR7,1,2022-05-24,3.3,0.0,0,N/A,S,3.3
3130ARXS5,1,2022-06-06,1.75,0.0,0,N/A,Q,1.75
3130ARXS5,2,2022-09-06,2.25,0.0,0,N/A,Q,2.25
3130ARXS5,3,2022-12-06,2.75,0.0,0,N/A,Q,2.75
3130ARW98,1,2022-05-04,3.72,0.0,0,N/A,S,3.72
3130ARWB3,1,2022-04-26,2.85,0.0,0,N/A,S,2.85
3130ARWC1,1,2022-05-16,2.5,0.0,0,N/A,S,2.5
3130ARWD9,1,2022-05-16,2.65,0.0,0,N/A,S,2.65
3130ARWE7,1,2022-05-17,4.0,0.0,0,N/A,S,4.0
3130ARWF4,1,2022-05-18,4.6,0.0,0,N/A,S,4.6
3130ARWG2,1,2022-05-25,2.125,0.0,0,N/A,S,2.125
3130ARWH0,1,2022-05-09,3.3,0.0,0,N/A,S,3.3
3130ARWJ6,1,2022-05-18,3.4,0.0,0,N/A,S,3.4
3130ARWK3,1,2022-05-23,3.2,0.0,0,N/A,S,3.2
3130ARWL1,1,2022-04-28,3.5,0.0,0,N/A,S,3.5
3130ARWM9,1,2022-05-03,2.8,0.0,0,N/A,S,2.8
3130ARWN7,1,2022-04-27,2.83,0.0,0,N/A,S,2.83
3130ARWQ0,1,2022-05-10,1.5,0.0,0,N/A,Q,1.5
3130ARWQ0,2,2022-08-10,2.0,0.0,0,N/A,Q,2.0
3130ARWQ0,3,2022-11-10,2.5,0.0,0,N/A,Q,2.5
3130ARWQ0,4,2023-02-10,3.0,0.0,0,N/A,Q,3.0
3130ARWR8,1,2022-05-17,3.585,0.0,0,N/A,S,3.585
3130ARWS6,1,2022-04-28,2.0,0.0,0,N/A,S,2.0
3130ARWT4,1,2022-05-16,3.75,0.0,0,N/A,S,3.75
3130ARWU1,1,2022-05-16,3.21,0.0,0,N/A,S,3.21
3130ARWV9,1,2022-05-25,3.06,0.0,0,N/A,S,3.06
3130ARWW7,1,2022-05-17,3.0,0.0,0,N/A,S,3.0
3130ARWW7,2,2023-05-17,3.5,0.0,0,N/A,S,3.5
3130ARWW7,3,2024-05-17,4.0,0.0,0,N/A,S,4.0
3130ARWW7,4,2025-05-17,4.5,0.0,0,N/A,S,4.5
3130ARWW7,5,2026-05-17,5.0,0.0,0,N/A,S,5.0
3130ARWX5,1,2022-04-28,3.4,0.0,0,N/A,S,3.4
3130ARWY3,1,2022-05-23,1.875,0.0,0,N/A,S,1.875
3130ARWZ0,1,2022-04-28,2.82,0.0,0,N/A,S,2.82
3130ARX22,1,2022-05-23,2.5,0.0,0,N/A,S,2.5
3130ARX22,2,2023-05-23,3.75,0.0,0,N/A,S,3.75
3130ARX22,3,2024-05-23,5.0,0.0,0,N/A,S,5.0
3130ARX30,1,2022-04-28,2.84,0.0,0,N/A,S,2.84
3130AS3R8,1,2022-05-26,3.23,0.0,0,N/A,S,3.23
3130AS3S6,1,2022-05-26,3.0,0.0,0,N/A,S,3.0
3130AS3T4,1,2022-05-12,2.125,0.0,0,N/A,S,2.125
3130AS3U1,1,2022-05-26,3.0,0.0,0,N/A,S,3.0
3130AS3V9,1,2022-05-25,1.25,0.0,0,N/A,Q,1.25
3130AS3V9,2,2022-08-25,2.5,0.0,0,N/A,Q,2.5
3130AS3V9,3,2022-11-25,3.0,0.0,0,N/A,Q,3.0
3130AS3V9,4,2023-02-25,3.5,0.0,0,N/A,Q,3.5
3130AS3W7,1,2022-05-24,2.5,0.0,0,N/A,S,2.5
3130AS3W7,2,2023-05-24,3.4,0.0,0,N/A,S,3.4
3130AS3X5,1,2022-05-18,3.39,0.0,0,N/A,S,3.39
3130AS3Y3,1,2022-05-27,3.23,0.0,0,N/A,S,3.23
3130AS3Z0,1,2022-05-26,3.0,0.0,0,N/A,S,3.0
3130AS4A4,1,2022-05-27,3.125,0.0,0,N/A,S,3.125
3130AS4B2,1,2022-05-26,2.75,0.0,0,N/A,S,2.75
3130AS4C0,1,2022-05-24,2.6,0.0,0,N/A,S,2.6
3130AS4D8,1,2022-05-23,2.55,0.0,0,N/A,S,2.55
3130AS4D8,2,2023-05-23,4.1,0.0,0,N/A,S,4.1
3130AS4E6,1,2022-05-26,3.65,0.0,0,N/A,S,3.65
3130AS4F3,1,2022-06-09,4.0,0.0,0,N/A,S,4.0
3130AS4G1,1,2022-05-18,2.0,0.0,0,N/A,S,2.0
3130AS4G1,2,2022-11-18,2.55,0.0,0,N/A,S,2.55
3130AS4H9,1,2022-05-26,2.25,0.0,0,N/A,S,2.25
3130AS4J5,1,2022-05-27,3.33,0.0,0,N/A,S,3.33
3130AS4K2,1,2022-05-26,4.73,0.0,0,N/A,S,4.73
3130AS4L0,1,2022-05-25,4.5,0.0,0,N/A,S,4.5
3130AS4M8,1,2022-05-26,3.15,0.0,0,N/A,S,3.15
3130AS4N6,1,2022-05-12,1.58,0.0,0,N/A,B,1.58
3130AS4P1,1,2022-05-26,4.5,0.0,0,N/A,S,4.5
3130AS4Q9,1,2022-05-19,1.95,0.0,0,N/A,S,1.95
3130AS4R7,1,2022-05-23,3.25,0.0,0,N/A,S,3.25
3130AS4S5,1,2022-05-23,1.75,0.0,0,N/A,S,1.75
3130AS4S5,2,2022-11-23,3.0,0.0,0,N/A,S,3.0
3130AS4T3,1,2022-05-25,2.0,0.0,0,N/A,S,2.0
3130AS4T3,2,2022-11-25,2.625,0.0,0,N/A,S,2.625
3130ARZA2,2,2022-11-17,3.0,0.0,0,N/A,S,3.0
3130ARZB0,1,2022-05-26,3.125,0.0,0,N/A,S,3.125
3130ARZC8,1,2022-05-27,3.4,0.0,0,N/A,S,3.4
3130ARZD6,1,2022-05-23,3.4,0.0,0,N/A,S,3.4
3130ARZE4,1,2022-05-25,3.2,0.0,0,N/A,S,3.2
3130ARZE4,2,2023-05-25,3.7,0.0,0,N/A,S,3.7
3130ARZE4,3,2024-05-25,4.2,0.0,0,N/A,S,4.2
3130ARZE4,4,2025-05-25,4.7,0.0,0,N/A,S,4.7
3130ARZE4,5,2026-05-25,5.35,0.0,0,N/A,S,5.35
3130ARZF1,1,2022-05-09,3.4,0.0,0,N/A,S,3.4
3130ARZG9,1,2022-05-10,4.12,0.0,0,N/A,S,4.12
3130ARZH7,1,2022-05-05,2.125,0.0,0,N/A,S,2.125
3130ARZJ3,1,2022-05-05,3.625,0.0,0,N/A,S,3.625
3130ARZK0,1,2022-05-04,3.02,0.0,0,N/A,S,3.02
3130ARZL8,1,2022-05-25,2.05,0.0,0,N/A,S,2.05
3130ARZL8,2,2022-11-25,3.05,0.0,0,N/A,S,3.05
3130ARZM6,1,2022-05-11,1.75,0.0,0,N/A,Q,1.75
3130ARZM6,2,2022-08-11,2.25,0.0,0,N/A,Q,2.25
3130ARZM6,3,2022-11-11,2.75,0.0,0,N/A,Q,2.75
3130ARZM6,4,2023-02-11,3.25,0.0,0,N/A,Q,3.25
3130ARZM6,5,2023-05-11,3.75,0.0,0,N/A,Q,3.75
3130ARZN4,1,2022-05-24,3.1,0.0,0,N/A,S,3.1
3130ARZP9,1,2022-05-24,2.45,0.0,0,N/A,S,2.45
3130ARZP9,2,2023-05-24,3.5,0.0,0,N/A,S,3.5
3130ARZQ7,1,2022-05-27,2.25,0.0,0,N/A,S,2.25
3130ARZQ7,2,2022-11-28,3.25,0.0,0,N/A,S,3.25
3130ARZR5,1,2022-05-26,4.0,0.0,0,N/A,S,4.0
3130ARZS3,1,2022-05-26,3.5,0.0,0,N/A,S,3.5
