 CUSIP              SEQ DESCRIP                                                      F  FIRSTRST         USAGE                          
 3130ASU23            1 Overnight SOFR                                               D  20220728         Coupon Reset                   
 3130ASU31            1 Overnight SOFR                                               D  20220728         Coupon Reset                   
 3130ASU49            1 Overnight SOFR                                               D  20220729         Coupon Reset                   
 3130ASUG2            1 Overnight SOFR                                               D  20220729         Coupon Reset                   
 3130ASUH0            1 Overnight SOFR                                               D  20220729         Coupon Reset                   
 3130ASUL1            1 Overnight SOFR                                               D  20220729         Coupon Reset                   
 3130ASUR8            1 Overnight SOFR                                               D  20220801         Coupon Reset                   
 3130ASUS6            1 Overnight SOFR                                               D  20220801         Coupon Reset                   
 3130ASUX5            1 Overnight SOFR                                               D  20220802         Coupon Reset                   
 3130ASUY3            1 Overnight SOFR                                               D  20220803         Coupon Reset                   
 3130ASVF3            1 Overnight SOFR                                               D  20220803         Coupon Reset                   
 3130ASVJ5            1 Overnight SOFR                                               D  20220804         Coupon Reset                   
 3130ASVL0            1 Overnight SOFR                                               D  20220803         Coupon Reset                   
 3130ASVT3            1 Overnight SOFR                                               D  20220805         Coupon Reset                   
 3130ASVU0            1 Overnight SOFR                                               D  20220805         Coupon Reset                   
 3130ASVV8            1 Overnight SOFR                                               D  20220805         Coupon Reset                   
 3130ASW21            1 Overnight SOFR                                               D  20220808         Coupon Reset                   
 3130ASW39            1 Overnight SOFR                                               D  20220809         Coupon Reset                   
 3130ASX61            1 Overnight SOFR                                               D  20220810         Coupon Reset                   
 3130ASX95            1 Overnight SOFR                                               D  20220811         Coupon Reset                   
 3130ASZQ5            1 Overnight SOFR                                               D  20220818         Coupon Reset                   
 3130AT2S5            1 Overnight SOFR                                               D  20220819         Coupon Reset                   
 3130AT2W6            1 Overnight SOFR                                               D  20220822         Coupon Reset                   
 3130AT3G0            1 Overnight SOFR                                               D  20220823         Coupon Reset                   
 3130AT3Z8            1 Overnight SOFR                                               D  20220823         Coupon Reset                   
 3130AT4A2            1 Overnight SOFR                                               D  20220824         Coupon Reset                   
 3130AT4B0            1 Overnight SOFR                                               D  20220824         Coupon Reset                   
 3130AT4X2            1 Overnight SOFR                                               D  20220824         Coupon Reset                   
 3130AT5P8            1 Overnight SOFR                                               D  20220825         Coupon Reset                   
 3130AT5Q6            1 Overnight SOFR                                               D  20220825         Coupon Reset                   
 3130AT5V5            1 Overnight SOFR                                               D  20220825         Coupon Reset                   
