CUSIP,SERIES,TRADED,ISSUED,MATURITY,TYPE,FIRSTCPN,F,PCR,CCR,R,S,CALL,ORIGINAL,REOPENED,OUTSTANDING,PRICE,COUPON,MINDENOM,MULTIPLES,DAYCNT,PAGENT,V,FORMULA
3130ACXR0,BR-9022,2017-11-28,2017-11-30,2022-11-30,Domestic Bond,2018-05-30,S,USD,USD,F,C,OPR,15000000.0,0.0,15000000.0,100.0,2.175,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.175
3130ADEV0,C3-2023,2018-01-12,2018-01-17,2023-01-17,Domestic Bond,2018-07-17,S,USD,USD,F,C,Non,12000000.0,0.0,12000000.0,100.0,2.38,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.38
3130AD7C0,ZV-2027,2017-12-19,2017-12-21,2027-12-10,Domestic Bond,2018-06-10,S,USD,USD,F,C,Non,24000000.0,49200000.0,73200000.0,99.016179,2.75,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.75
3130AD7H9,A3-2023,2017-12-19,2017-12-28,2023-06-01,Domestic Bond,2018-06-01,S,USD,USD,F,C,Non,280000000.0,0.0,280000000.0,100.0,2.27,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.27
3130ADAN2,XH-2025,2017-12-20,2017-12-27,2025-02-28,Domestic Bond,2018-02-28,S,USD,USD,F,C,Non,40000000.0,0.0,40000000.0,100.0,2.44,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.44
3130ADAZ5,A5-2023,2017-12-21,2017-12-26,2023-08-28,Domestic Bond,2018-02-28,S,USD,USD,F,C,Non,47055000.0,0.0,47055000.0,100.0,2.33,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.33
3130ADBK7,VV-2033,2018-01-03,2018-01-24,2033-01-24,Domestic Bond,2018-07-24,S,USD,USD,F,C,OPR,35000000.0,0.0,35000000.0,100.0,3.27,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,3.27
3130AD3Y6,CP-9022,2017-12-12,2017-12-19,2022-09-30,Domestic Bond,2018-03-30,S,USD,USD,F,C,Non,25000000.0,0.0,25000000.0,100.0,2.19,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.19
3130AD5A6,2Q-2024,2017-12-13,2017-12-28,2024-05-01,Domestic Bond,2018-05-01,S,USD,USD,F,C,Non,50000000.0,0.0,50000000.0,100.0,2.28,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.28
3130AD6L1,DJ-2032,2017-12-15,2017-12-27,2032-12-27,Domestic Bond,2018-06-27,S,USD,USD,F,C,OPR,50000000.0,0.0,50000000.0,98.25,2.9,100000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.9
3130ACZY3,2L-2024,2017-12-06,2017-12-07,2024-09-05,Domestic Bond,2018-03-05,S,USD,USD,F,C,Non,9190000.0,0.0,9190000.0,100.0,2.27,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.27
3130ADMX7,E4-2023,2018-02-06,2018-02-08,2023-03-10,Domestic Bond,2018-09-10,S,USD,USD,F,C,Non,5250000.0,65500000.0,70750000.0,99.303381,2.5,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.5
3130ADPS5,XS-2025,2018-02-15,2018-02-20,2025-08-20,Domestic Bond,2018-08-20,S,USD,USD,F,C,Non,20000000.0,0.0,20000000.0,100.0,2.99,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.99
3130ADQ54,F1-2023,2018-02-20,2018-02-28,2023-02-28,Domestic Bond,2018-08-28,S,USD,USD,F,C,Non,10000000.0,0.0,10000000.0,100.0,2.72,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.72
3130ADQF2,DJ-9022,2018-02-21,2018-02-22,2022-10-28,Domestic Bond,2018-04-28,S,USD,USD,F,C,Non,18925000.0,0.0,18925000.0,100.0,2.65,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.65
3130ADRA2,2V-2024,2018-02-27,2018-02-28,2024-10-30,Domestic Bond,2018-04-30,S,USD,USD,F,C,Non,8250000.0,0.0,8250000.0,100.0,2.8,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.8
3130ADRB0,2W-2024,2018-02-27,2018-02-28,2024-05-03,Domestic Bond,2018-05-03,S,USD,USD,F,C,Non,11130000.0,0.0,11130000.0,100.0,2.75,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.75
3130ADRC8,F6-2023,2018-02-27,2018-02-28,2023-05-30,Domestic Bond,2018-05-30,S,USD,USD,F,C,Non,4695000.0,0.0,4695000.0,100.0,2.66,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.66
3130ADRG9,F8-2023,2018-02-27,2018-03-01,2023-03-10,Domestic Bond,2018-09-10,S,USD,USD,F,C,Non,39500000.0,771510000.0,811010000.0,100.446541,2.75,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.75
3130ADRH7,XU-2025,2018-02-27,2018-03-01,2025-03-14,Domestic Bond,2018-09-14,S,USD,USD,F,C,Non,20000000.0,159630000.0,179630000.0,99.852478,2.875,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.875
3130ADRJ3,DL-9022,2018-02-27,2018-02-28,2022-11-30,Domestic Bond,2018-05-30,S,USD,USD,F,C,Non,15855000.0,0.0,15855000.0,100.0,2.65,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.65
3130ADRK0,DM-9022,2018-02-27,2018-02-28,2022-12-05,Domestic Bond,2018-06-05,S,USD,USD,F,C,Non,7320000.0,0.0,7320000.0,100.0,2.67,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.67
3130ADRL8,DN-9022,2018-02-27,2018-02-28,2022-12-30,Domestic Bond,2018-06-30,S,USD,USD,F,C,Non,9115000.0,0.0,9115000.0,100.0,2.68,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.68
3130ADRX2,DP-9022,2018-02-28,2018-03-02,2022-12-09,Domestic Bond,2018-06-09,S,USD,USD,F,C,Non,18000000.0,10000000.0,28000000.0,99.371063,2.625,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.625
3130ADGP1,YY-2033,2018-01-18,2018-01-26,2033-01-26,Domestic Bond,2018-07-26,S,USD,USD,F,C,OPR,15000000.0,0.0,15000000.0,100.0,3.4,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,3.4
3130ADHF2,XL-2025,2018-01-22,2018-01-29,2025-01-29,Domestic Bond,2018-07-29,S,USD,USD,F,C,Non,10000000.0,0.0,10000000.0,100.0,2.65,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.65
3130ADLN0,ZX-2027,2018-01-30,2018-02-01,2027-12-10,Domestic Bond,2018-06-10,S,USD,USD,F,C,Non,9000000.0,0.0,9000000.0,100.002246,3.0,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,3.0
3130ADX31,J9-2023,2018-03-28,2018-03-29,2023-11-30,Domestic Bond,2018-05-30,S,USD,USD,F,C,Non,6205000.0,0.0,6205000.0,100.0,2.64,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.64
3130AE2E9,EH-9022,2018-04-11,2018-04-12,2022-10-28,Domestic Bond,2018-10-28,S,USD,USD,F,C,Non,56000000.0,0.0,56000000.0,100.0,2.62,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.62
3130AE3R9,M4-2023,2018-04-13,2018-04-20,2023-04-20,Domestic Bond,2018-10-20,S,USD,USD,F,C,Non,17000000.0,0.0,17000000.0,100.0,2.79,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.79
3130AE3Z1,ED-2030,2018-04-17,2018-04-19,2030-03-08,Domestic Bond,2018-09-08,S,USD,USD,F,C,Non,10000000.0,3000000.0,13000000.0,99.532097,3.25,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,3.25
3130AE4G2,M5-2023,2018-04-18,2018-04-19,2023-09-06,Domestic Bond,2018-09-06,S,USD,USD,F,C,Non,10215000.0,0.0,10215000.0,100.0,2.745,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.745
3130AE4J6,NU-2028,2018-04-18,2018-04-27,2028-04-27,Domestic Bond,2018-10-27,S,USD,USD,F,C,OPR,10000000.0,0.0,10000000.0,100.0,3.44,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,3.44
3130AE4K3,AK-2033,2018-04-18,2018-04-27,2033-04-27,Domestic Bond,2018-10-27,S,USD,USD,F,C,OPR,10000000.0,0.0,10000000.0,100.0,3.75,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,3.75
3130AE4Q0,P-2038,2018-04-18,2018-04-20,2038-03-12,Domestic Bond,2018-09-12,S,USD,USD,F,C,Non,10000000.0,25000000.0,35000000.0,96.832548,3.375,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,3.375
3130AE5A4,YE-2025,2018-04-19,2018-04-20,2025-06-05,Domestic Bond,2018-06-05,S,USD,USD,F,C,Non,6810000.0,0.0,6810000.0,100.0,2.99,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.99
3130AE5C0,R-2038,2018-04-19,2018-04-27,2038-04-27,Domestic Bond,2018-10-27,S,USD,USD,F,C,OPR,10000000.0,0.0,10000000.0,100.0,4.0,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,4.0
3130ADS60,XV-2025,2018-03-01,2018-03-05,2025-09-05,Domestic Bond,2018-09-05,S,USD,USD,F,C,Non,20000000.0,0.0,20000000.0,100.0,2.98,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.98
3130ADSE3,2X-2024,2018-03-05,2018-03-07,2024-02-28,Domestic Bond,2018-08-28,S,USD,USD,F,C,Non,9050000.0,0.0,9050000.0,100.0,2.75,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.75
3130ADTV4,2Y-2024,2018-03-09,2018-03-12,2024-06-28,Domestic Bond,2018-06-28,S,USD,USD,F,C,Non,17810000.0,0.0,17810000.0,100.0,2.827,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.827
3130ADU75,YA-2025,2018-03-12,2018-03-14,2025-09-15,Domestic Bond,2018-09-15,S,USD,USD,F,C,Non,10000000.0,0.0,10000000.0,100.0,3.0,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,3.0
3130ADUP5,I5-2023,2018-03-15,2018-03-16,2023-06-28,Domestic Bond,2018-04-28,M,USD,USD,F,C,Non,251490000.0,0.0,251490000.0,100.0,2.66,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.66
3130ADWK4,J8-2023,2018-03-26,2018-03-27,2023-07-28,Domestic Bond,2018-07-28,S,USD,USD,F,C,Non,7325000.0,0.0,7325000.0,100.0,2.67,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.67
3130AE5G1,M7-2023,2018-04-19,2018-04-20,2023-11-30,Domestic Bond,2018-05-30,S,USD,USD,F,C,Non,21775000.0,0.0,21775000.0,100.0,2.805,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.805
3130AE5L0,NW-2028,2018-04-20,2018-04-26,2028-04-26,Domestic Bond,2018-10-26,S,USD,USD,F,C,OPR,15000000.0,0.0,15000000.0,100.0,3.55,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,3.55
3130AE5M8,AL-2033,2018-04-20,2018-04-26,2033-04-26,Domestic Bond,2018-10-26,S,USD,USD,F,C,OPR,25000000.0,0.0,25000000.0,100.0,3.83,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,3.83
3130AE6D7,1B-2027,2018-04-23,2018-04-25,2027-03-12,Domestic Bond,2018-09-12,S,USD,USD,F,C,Non,20000000.0,22000000.0,42000000.0,99.762514,3.25,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,3.25
3130AE6M7,YG-2025,2018-04-24,2018-04-25,2025-02-28,Domestic Bond,2018-08-28,S,USD,USD,F,C,Non,5525000.0,0.0,5525000.0,100.0,3.01,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,3.01
3130AE6T2,N1-2023,2018-04-25,2018-05-02,2023-05-15,Domestic Bond,2018-11-15,S,USD,USD,F,C,Non,20795000.0,0.0,20795000.0,100.0,2.89,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,2.89
3130AE7F1,AQ-2033,2018-04-26,2018-04-30,2033-03-11,Domestic Bond,2018-09-11,S,USD,USD,F,C,Non,10000000.0,0.0,10000000.0,98.700941,3.5,10000.0,5000.0,030/360,Fed NY - Pay Agent,N,3.5
